transaction_id,parent,parent_type,child,child_type,rel_type,date
2403-38-01_tr_062,Minister of Defence,cabinetMinister,Defence Services School,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_063,Minister of Defence,cabinetMinister,Department of Meteorology,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_064,Minister of Defence,cabinetMinister,Disaster Management Centre,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_065,Minister of Defence,cabinetMinister,Institute of National Security Studies,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_066,Minister of Defence,cabinetMinister,Miloda Institute - as a Faculty of Kotelawala Defence University,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_067,Minister of Defence,cabinetMinister,National Authority for the Implementation of Chemical Weapons Convention,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_068,Minister of Defence,cabinetMinister,National Building Research Organization,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_069,Minister of Defence,cabinetMinister,National Cadet Corps,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_070,Minister of Defence,cabinetMinister,National Defence College,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_071,Minister of Defence,cabinetMinister,National Defence Fund,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_072,Minister of Defence,cabinetMinister,National Disaster Management Council,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_073,Minister of Defence,cabinetMinister,National Disaster Relief Services Centre,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_074,Minister of Defence,cabinetMinister,Office of the Chief of Defence Staff,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_075,Minister of Defence,cabinetMinister,Rakna Arakshana Lanka Ltd.,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_076,Minister of Defence,cabinetMinister,Ranaviru Seva Authority,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_077,Minister of Defence,cabinetMinister,Sir John Kotelawala Defence University,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_078,Minister of Defence,cabinetMinister,Sri Lanka Air Force,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_079,Minister of Defence,cabinetMinister,Sri Lanka Army,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_080,Minister of Defence,cabinetMinister,Sri Lanka Navy,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_081,Minister of Defence,cabinetMinister,State Intelligence Service,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_082,Minister of Education,cabinetMinister,Arthur C. Clarke Institute for Modern Technologies,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_083,Minister of Education,cabinetMinister,Ceylon German Technical Training Institute,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_084,Minister of Education,cabinetMinister,Department of Educational Publications,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_085,Minister of Education,cabinetMinister,Department of Examinations,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_086,Minister of Education,cabinetMinister,Department of Technical Education and Training,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_087,Minister of Education,cabinetMinister,Directorates of Education,department,AS_DEPARTMENT,2024-09-25
